N,mu,n_ratio,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200
10,1.3587,1.127,1.8231,1.9229,1.9053,1.8619,1.8462,1.8356,1.8097,1.8049,1.774,1.7353,1.677,1.647,1.5964,1.585,1.5699,1.5716,1.5808,1.5963,1.5849,1.5539,1.579,1.5713,1.5786,1.5711,1.551,1.5124,1.4869,1.4332,1.3961,1.3834,1.4099,1.4056,1.3636,1.3977,1.3977,1.4089,1.3818,1.4074,1.4039,1.3923,1.3812,1.3373,1.3339,1.3303,1.3234,1.3264,1.3532,1.3833,1.3425,1.3317,1.3165,1.2926,1.3066,1.284,1.3105,1.3236,1.3002,1.2656,1.2458,1.2046,1.1872,1.1272,1.0886,1.0422,1.0595,1.111,1.1041,1.1467,1.1431,1.1234,1.1177,1.123,1.1349,1.1431,1.1565,1.1974,1.1883,1.2037,1.2265,1.2393,1.2387,1.2301,1.2286,1.2801,1.3132,1.291,1.3291,1.3042,1.2881,1.2417,1.2383,1.2484,1.2433,1.2305,1.2331,1.2616,1.2658,1.2834,1.2931,1.3119,1.3326,1.3104,1.3449,1.3213,1.3171,1.3367,1.3191,1.2631,1.2365,1.248,1.2247,1.2254,1.2513,1.2785,1.3076,1.309,1.2975,1.2904,1.3136,1.2963,1.2599,1.2525,1.2796,1.3074,1.3114,1.3245,1.2984,1.2973,1.2889,1.2947,1.2805,1.2853,1.2916,1.3008,1.3251,1.3383,1.3328,1.3594,1.3886,1.3492,1.3075,1.2822,1.2757,1.2952,1.3166,1.3418,1.3772,1.4341,1.4464,1.4824,1.4986,1.4911,1.454,1.4503,1.4637,1.4665,1.4819,1.516,1.4771,1.491,1.5156,1.5247,1.536,1.5491,1.5406,1.5492,1.5575,1.5252,1.5211,1.5301,1.5211,1.4923,1.495,1.4866,1.4709,1.4697,1.448,1.4284,1.4462,1.4511,1.3894,1.4211,1.4304,1.4137,1.3987,1.4028,1.3907,1.4152,1.4688,1.4699,1.448,1.4703,1.4587,1.4319,1.4048,1.4187,1.4389,1.462,1.4744,1.4904
10,0.343,1.0642,1.5282,1.6282,1.5935,1.5512,1.4979,1.4723,1.4156,1.4145,1.3863,1.3421,1.3273,1.2776,1.2462,1.221,1.1569,1.1243,1.0845,1.0678,1.0269,0.9948,0.94853,0.92274,0.89555,0.87124,0.85906,0.84039,0.82256,0.82669,0.81159,0.77295,0.73726,0.68513,0.65844,0.62473,0.63406,0.65347,0.65466,0.61876,0.56582,0.57295,0.56844,0.53381,0.50801,0.52781,0.57435,0.56642,0.54062,0.51735,0.48804,0.46438,0.47228,0.4755,0.46733,0.49899,0.49676,0.53243,0.5257,0.5477,0.54077,0.54107,0.51882,0.50481,0.49542,0.51777,0.55057,0.5941,0.58266,0.5597,0.56766,0.56856,0.53835,0.52175,0.53539,0.5487,0.54554,0.55045,0.5535,0.55322,0.55502,0.55672,0.5839,0.59247,0.59688,0.55972,0.53356,0.57623,0.61623,0.57334,0.62035,0.61995,0.57645,0.58134,0.59224,0.59785,0.60378,0.57165,0.57282,0.54637,0.54388,0.56136,0.59718,0.58667,0.57806,0.56557,0.54337,0.54748,0.55554,0.53946,0.54053,0.50439,0.48729,0.44864,0.4495,0.43959,0.47571,0.48635,0.52295,0.53177,0.52824,0.49717,0.51349,0.51936,0.5301,0.5134,0.51546,0.53502,0.53096,0.54506,0.55487,0.55559,0.57156,0.55997,0.53473,0.52471,0.47594,0.48109,0.49035,0.46071,0.47608,0.4641,0.48728,0.49231,0.52387,0.51666,0.51625,0.52046,0.51879,0.53285,0.56121,0.55293,0.53612,0.53456,0.50574,0.49009,0.48598,0.52522,0.50777,0.51245,0.51954,0.52698,0.52074,0.56006,0.58383,0.6284,0.6021,0.58868,0.60168,0.59458,0.58358,0.55152,0.52309,0.51673,0.52696,0.5255,0.51456,0.5479,0.5613,0.5762,0.55621,0.55488,0.55015,0.55526,0.56102,0.5344,0.5834,0.60547,0.61029,0.61889,0.61518,0.62024,0.60743,0.64236,0.65556,0.61533,0.62608,0.60178,0.58224,0.62549,0.66712,0.6297
3,1.1213,1.7485,1.3213,1.417,1.3875,1.295,1.2446,1.21,1.1571,1.131,1.041,1.0096,0.95919,0.918,0.88305,0.80337,0.78698,0.78619,0.77511,0.76817,0.74401,0.77104,0.75085,0.79508,0.79578,0.79836,0.73339,0.64593,0.61541,0.52308,0.52069,0.47806,0.45443,0.48635,0.47019,0.47611,0.50335,0.51853,0.43435,0.40381,0.44831,0.44429,0.39351,0.32098,0.35568,0.35839,0.35658,0.37252,0.35199,0.40951,0.42347,0.39395,0.41034,0.35227,0.34481,0.30965,0.34882,0.37772,0.33185,0.32635,0.40068,0.41725,0.457,0.49698,0.50333,0.58198,0.62169,0.61504,0.65377,0.67229,0.72337,0.65506,0.64652,0.64598,0.59759,0.55796,0.47616,0.45548,0.45685,0.50299,0.60035,0.65842,0.64011,0.56044,0.58828,0.65628,0.67774,0.65148,0.68439,0.69587,0.72711,0.70318,0.72908,0.80054,0.83209,0.86911,0.81246,0.81042,0.74006,0.6924,0.60801,0.54633,0.51211,0.47927,0.44872,0.45682,0.45781,0.47482,0.40732,0.42345,0.39306,0.39614,0.46888,0.51083,0.5212,0.47692,0.48825,0.41798,0.40639,0.41158,0.40081,0.45939,0.4633,0.52361,0.53687,0.51664,0.46022,0.47415,0.4616,0.3991,0.45603,0.45694,0.46621,0.47476,0.44362,0.4279,0.41224,0.43733,0.4507,0.42245,0.45473,0.50436,0.47112,0.50156,0.47909,0.48062,0.42585,0.46708,0.40719,0.40966,0.4278,0.47932,0.52355,0.53634,0.54118,0.47595,0.5202,0.534,0.47567,0.42723,0.42366,0.39435,0.33396,0.35084,0.36717,0.45236,0.48679,0.49595,0.50026,0.54523,0.64095,0.63471,0.63309,0.58733,0.55994,0.57979,0.58245,0.65348,0.68248,0.75655,0.76252,0.77415,0.82874,0.83587,0.89701,0.88614,0.9385,0.98699,1.0541,1.0544,1.0461,1.0268,0.9775,0.99283,1.072,1.0851,1.0701,1.0219,1.0423,1.0456,1.0565,1.0837
8,1.0474,1.0293,1.433,1.533,1.5505,1.5236,1.5004,1.4955,1.5122,1.5211,1.517,1.4578,1.4471,1.4177,1.3646,1.3438,1.3457,1.2675,1.2237,1.2029,1.2169,1.1824,1.1563,1.1543,1.1314,1.107,1.056,1.0336,0.99013,1.0073,1.0384,1.0177,0.98596,0.9648,0.96725,0.96898,0.97852,0.96193,0.94603,0.94008,0.94046,0.92808,0.97429,1.0248,1.0264,1.0215,1.0075,1.0229,1.0664,1.0834,1.0473,1.0441,1.0493,1.0604,1.0886,1.0337,1.0211,1.0422,1.0544,1.0989,1.1109,1.1002,1.0582,1.0499,1.0238,0.99889,0.9588,0.94727,0.97263,0.95017,0.92947,0.99263,1.0024,0.95827,0.92338,0.92688,0.89404,0.89393,0.93006,0.93618,0.94088,0.9571,0.97785,0.94501,0.96316,0.95702,0.93244,0.88323,0.86159,0.84019,0.85601,0.84684,0.85959,0.84456,0.87151,0.91652,0.94001,0.93914,0.93389,0.9414,0.96451,0.98143,0.97545,0.97668,0.95678,0.92779,0.87327,0.87254,0.8739,0.85492,0.88029,0.89628,0.90814,0.88595,0.86086,0.83741,0.85803,0.89607,0.90448,0.92204,0.89734,0.88457,0.90229,0.94625,0.93609,0.92937,0.92668,0.97204,0.97244,1.0356,1.0752,1.0318,1.0083,1.0464,1.0267,1.0311,1.0436,1.0505,1.0778,1.0994,1.0776,1.0531,1.0641,1.0465,1.014,0.95087,0.93933,0.96253,0.99574,0.98341,0.96509,0.95806,1.0006,1.0284,1.0635,1.0722,1.0619,1.064,1.0598,1.0295,1.0248,1.0352,1.0548,1.0622,1.0774,1.0625,1.0417,1.0045,0.98913,0.93202,0.93096,0.98486,1.0063,1.0497,1.0904,1.0798,1.0444,0.96326,0.93036,0.93328,0.90667,0.85771,0.85444,0.83429,0.84184,0.89936,0.93772,0.97224,1.0131,0.99708,1.0317,1.0302,1.0483,1.0429,1.0974,1.0571,1.0319,1.0168,1.046,1.0339,0.96851,0.9861
6,1.0961,1.2612,0.9641,1.0631,1.0608,1.0168,1.0273,0.98143,0.99162,0.9521,0.99237,0.95881,0.97376,0.96609,0.97375,0.93752,0.92151,0.93991,0.92589,0.91339,0.89622,0.92593,0.96075,0.99459,1.0338,1.0174,1.044,0.99097,1.0257,1.001,1.0324,1.0263,1.0279,1.001,1.0507,1.0762,1.0478,1.0359,1.0097,0.97256,0.99002,0.95973,0.96927,0.97474,0.99596,0.97165,0.99753,0.98499,0.98766,0.96342,0.92465,0.96986,0.96746,0.98087,0.98339,0.95436,0.95612,0.91843,0.91168,0.91696,0.87219,0.84148,0.81623,0.78372,0.78704,0.8138,0.84866,0.88301,0.87708,0.88138,0.92999,0.95248,0.91073,0.88103,0.88023,0.89287,0.88182,0.89502,0.86467,0.8893,0.89799,0.96725,0.98064,1.0315,1.0614,1.1085,1.0924,1.099,1.1571,1.1585,1.2107,1.2014,1.128,1.1479,1.0894,1.1168,1.0785,1.0843,1.123,1.1452,1.1147,1.1388,1.1754,1.1564,1.1704,1.2104,1.2141,1.2611,1.2867,1.2547,1.2193,1.218,1.2139,1.2033,1.1727,1.1305,1.1745,1.262,1.2841,1.2283,1.22,1.2363,1.2594,1.2899,1.243,1.2599,1.2915,1.2699,1.3023,1.2681,1.2233,1.2165,1.2142,1.1598,1.1509,1.1439,1.1402,1.1087,1.0982,1.1264,1.1106,1.0937,1.067,1.1041,1.1225,1.0918,1.0476,1.0438,1.0896,1.0837,1.0976,1.1268,1.1103,1.1146,1.0715,1.061,1.0798,1.0743,1.0757,1.0419,1.0611,1.0674,1.034,1.0556,1.1151,1.1294,1.1267,1.1289,1.1579,1.1408,1.1594,1.1541,1.1218,1.1195,1.1611,1.1239,1.1236,1.1058,1.0782,1.0622,1.0588,1.035,0.9952,1.0072,1.0316,1.0727,1.0984,1.1262,1.1657,1.1888,1.1961,1.1797,1.2005,1.1925,1.1958,1.1691,1.1734,1.1516,1.1887,1.2256,1.2653,1.3126
6,1.1873,1.8392,0.94904,1.0449,1.0567,1.0677,0.99333,0.97825,0.95294,0.95491,0.96379,0.96737,0.95504,0.94653,0.91094,0.94459,0.9153,0.94421,0.91265,0.91439,0.88625,0.92818,0.95285,0.97878,1.0422,1.0911,1.1359,1.1391,1.1273,1.1458,1.1294,1.1451,1.1437,1.1294,1.1633,1.1983,1.2001,1.2438,1.2178,1.2255,1.2437,1.2428,1.2594,1.279,1.2264,1.2239,1.2175,1.1798,1.1775,1.1857,1.2171,1.1807,1.1468,1.1443,1.1506,1.1118,1.0809,1.0921,1.0905,1.1073,1.1021,1.144,1.1558,1.1776,1.1729,1.1465,1.146,1.1137,1.1057,1.1489,1.1276,1.1228,1.0779,1.0875,1.0619,1.0427,1.0736,1.0537,1.0548,1.0701,1.0733,1.0808,1.1037,1.1168,1.1467,1.1096,1.1165,1.1312,1.1489,1.1235,1.1233,1.1085,1.0596,1.0348,1.0931,1.0826,1.065,1.0549,1.0371,1.0432,1.0642,1.1415,1.1489,1.1324,1.1107,1.119,1.0897,1.0288,1.0076,0.99791,1.0157,1.0322,1.0346,1.0835,1.1369,1.1853,1.2456,1.2605,1.3176,1.29,1.289,1.2265,1.27,1.294,1.2929,1.2588,1.2357,1.2849,1.2701,1.2688,1.2612,1.2533,1.2934,1.2915,1.3056,1.3178,1.3019,1.2746,1.267,1.2061,1.2207,1.2429,1.3029,1.3117,1.3053,1.3178,1.3304,1.3257,1.3018,1.3725,1.3568,1.3368,1.3199,1.284,1.3123,1.2719,1.2768,1.2692,1.2492,1.2679,1.2838,1.2195,1.2435,1.2431,1.1972,1.1919,1.1374,1.1118,1.0907,1.0754,1.1005,1.0863,1.0645,1.1012,1.1458,1.1875,1.2277,1.1971,1.191,1.1868,1.1831,1.1642,1.1509,1.2018,1.1961,1.2283,1.2417,1.2455,1.2502,1.259,1.2359,1.236,1.2415,1.2813,1.2505,1.1708,1.1571,1.1442,1.1472,1.1704,1.1986,1.1837
12,1.4976,1.9875,1.1582,1.2407,1.2209,1.2477,1.2184,1.2083,1.1742,1.1404,1.1538,1.1328,1.1132,1.0701,1.0797,1.0805,1.089,1.0777,1.1056,1.1163,1.1118,1.1033,1.1052,1.1256,1.1175,1.1137,1.1371,1.1521,1.1582,1.1533,1.1352,1.1267,1.1222,1.1286,1.1063,1.0753,1.0591,1.0784,1.0957,1.1312,1.1291,1.1477,1.1698,1.2158,1.2485,1.2508,1.231,1.2382,1.2183,1.2428,1.2395,1.2316,1.2406,1.2564,1.2481,1.2509,1.2548,1.2494,1.2464,1.252,1.2764,1.2862,1.283,1.2544,1.2965,1.2977,1.292,1.3088,1.2975,1.3261,1.3058,1.297,1.3022,1.2986,1.267,1.2506,1.2189,1.18,1.1787,1.1645,1.1756,1.1571,1.1837,1.1975,1.2207,1.237,1.2556,1.223,1.2209,1.2348,1.2452,1.2288,1.276,1.2901,1.3327,1.3412,1.3631,1.3367,1.3137,1.2834,1.2952,1.2826,1.2668,1.3067,1.3298,1.3286,1.3231,1.3501,1.3591,1.379,1.4035,1.4126,1.4075,1.3877,1.4194,1.4104,1.4175,1.4174,1.3871,1.3573,1.343,1.349,1.3151,1.3224,1.3606,1.3627,1.3882,1.3597,1.3637,1.3733,1.3834,1.3648,1.3765,1.4254,1.431,1.4496,1.4588,1.4706,1.4773,1.4824,1.4957,1.4862,1.4823,1.4803,1.4487,1.429,1.398,1.3858,1.3639,1.3644,1.3606,1.3446,1.3145,1.3137,1.3091,1.3266,1.3379,1.3252,1.3063,1.3083,1.3113,1.3098,1.3262,1.3459,1.3282,1.357,1.3761,1.3879,1.3665,1.3193,1.3205,1.3206,1.3214,1.2974,1.2514,1.2134,1.1792,1.19,1.1754,1.1955,1.1934,1.1748,1.1956,1.198,1.2008,1.1922,1.1885,1.1782,1.2104,1.2343,1.2618,1.2923,1.3077,1.2882,1.2748,1.2773,1.2867,1.2994,1.2999,1.3322,1.3329,1.3493
11,0.01191,1.634,1.0801,1.1801,1.1405,1.0868,1.0489,0.99223,0.96593,0.9104,0.87983,0.8387,0.80348,0.76463,0.71986,0.66869,0.64156,0.6171,0.62073,0.62143,0.62378,0.6006,0.58757,0.56223,0.53069,0.52775,0.57497,0.56602,0.55516,0.58213,0.60411,0.61684,0.59585,0.56156,0.51069,0.50243,0.50025,0.50671,0.47404,0.43848,0.45309,0.45269,0.47069,0.50372,0.522,0.51674,0.48397,0.48162,0.50525,0.51379,0.53134,0.53722,0.54391,0.56925,0.57303,0.58282,0.5934,0.59104,0.54745,0.53433,0.51714,0.51548,0.5589,0.54302,0.53158,0.55746,0.56924,0.56863,0.55258,0.54334,0.55553,0.55078,0.55076,0.56125,0.5524,0.56088,0.56837,0.58295,0.54484,0.55951,0.56,0.53354,0.50291,0.51632,0.47975,0.47984,0.49976,0.53995,0.56444,0.57645,0.55154,0.52467,0.54364,0.57824,0.63279,0.66035,0.62504,0.57429,0.54524,0.55592,0.54458,0.56578,0.55079,0.52073,0.54923,0.56715,0.5512,0.52958,0.52002,0.54353,0.55414,0.53622,0.48911,0.5128,0.52944,0.55768,0.57727,0.53442,0.50769,0.51103,0.55297,0.54209,0.55367,0.53937,0.56746,0.56458,0.5404,0.53089,0.50509,0.49697,0.50917,0.51405,0.50486,0.50848,0.52549,0.52224,0.47843,0.45355,0.42755,0.43712,0.46925,0.4766,0.44496,0.46859,0.48882,0.46734,0.44665,0.47216,0.45781,0.43137,0.41463,0.41601,0.40443,0.40349,0.3938,0.38731,0.38754,0.41613,0.4328,0.44171,0.45178,0.4556,0.50608,0.49541,0.48919,0.46303,0.4825,0.48438,0.48847,0.50996,0.49807,0.4938,0.49975,0.48902,0.50259,0.54436,0.54048,0.53891,0.52602,0.50101,0.49865,0.49149,0.47812,0.48343,0.46972,0.44905,0.42451,0.42347,0.43316,0.44224,0.46693,0.53533,0.53589,0.51851,0.49237,0.49384,0.49617,0.4936,0.45531,0.47358,0.48924,0.50765
6,0.99201,1.8957,1.5324,1.6312,1.6527,1.601,1.5917,1.5662,1.523,1.4553,1.4022,1.4144,1.44,1.4965,1.4649,1.4691,1.5259,1.5455,1.5055,1.5253,1.5321,1.4981,1.4567,1.4114,1.3884,1.3229,1.319,1.251,1.2432,1.213,1.2618,1.2632,1.2443,1.2157,1.178,1.1645,1.1108,1.11,1.1282,1.0607,0.99123,0.9882,0.97508,0.95094,1.0167,1.0262,1.1069,1.1341,1.1685,1.1907,1.2224,1.2406,1.1715,1.1604,1.1853,1.1711,1.1714,1.1257,1.1592,1.1463,1.121,1.1445,1.1389,1.1784,1.1989,1.184,1.2418,1.277,1.2554,1.2407,1.1994,1.2085,1.2058,1.2053,1.2011,1.168,1.1695,1.1868,1.2186,1.237,1.2245,1.2148,1.196,1.1762,1.1882,1.1659,1.1736,1.1443,1.1312,1.1113,1.093,1.0819,1.0514,1.0604,1.0296,0.95699,0.96968,1.0138,1.0787,1.0956,1.079,1.0874,1.0877,1.0932,1.1597,1.1413,1.1152,1.1073,1.0678,1.0432,1.0481,1.0481,1.0918,1.052,1.0078,1.0312,1.0908,1.0728,1.037,1.059,1.0651,1.0329,1.0652,1.0442,1.0792,1.0731,1.074,1.0721,1.0568,1.0793,1.0276,1.0257,1.0687,1.1033,1.1158,1.1034,1.0979,1.0797,1.073,1.1172,1.0989,1.0747,1.0484,1.0302,1.0258,1.0642,1.082,1.0754,1.0873,1.0813,1.0792,1.0818,1.0779,1.055,1.074,1.0906,1.1081,1.1038,1.1002,1.0544,1.0508,1.0413,0.99022,1.0283,1.0779,1.0609,1.008,1.0002,1.0104,0.99438,0.98384,0.94859,0.96248,0.95006,0.98154,0.9785,0.96652,0.98648,0.93935,0.88028,0.84595,0.81893,0.83421,0.85488,0.84022,0.84135,0.83964,0.87069,0.91936,0.9025,0.89417,0.92949,0.97516,1.0368,1.0282,0.99354,0.92619,0.93911,0.95208,1.0143,1.0349,1.0347
4,0.65143,1.0251,1.1829,1.2829,1.314,1.2997,1.2328,1.2527,1.2373,1.1858,1.1468,1.1306,1.1756,1.1484,1.1296,1.0729,1.0352,1.0374,1.0191,0.94202,0.9411,0.88379,0.87031,0.8332,0.83697,0.79062,0.79285,0.79869,0.76953,0.76135,0.74948,0.73762,0.67912,0.66106,0.63579,0.663,0.63858,0.68145,0.66586,0.6159,0.61464,0.59192,0.52819,0.4997,0.49074,0.57747,0.56854,0.58515,0.58362,0.58705,0.52736,0.54826,0.58853,0.62879,0.65231,0.60985,0.65871,0.65064,0.62697,0.59509,0.56714,0.55361,0.611,0.64733,0.60963,0.58205,0.61031,0.63056,0.71498,0.76014,0.75421,0.73484,0.74281,0.77449,0.7056,0.69393,0.71602,0.76018,0.73042,0.7274,0.73641,0.71925,0.74784,0.70167,0.66866,0.70899,0.67775,0.65287,0.59114,0.56748,0.5731,0.56114,0.59405,0.57493,0.62159,0.60021,0.62318,0.6175,0.60675,0.63326,0.62264,0.62263,0.6079,0.60076,0.59676,0.67703,0.68487,0.63075,0.65176,0.6387,0.61609,0.63464,0.64885,0.64553,0.58135,0.58775,0.63084,0.62462,0.61643,0.65556,0.63407,0.568,0.53681,0.5615,0.52451,0.53035,0.57595,0.54384,0.51133,0.45204,0.39686,0.41223,0.37719,0.43551,0.45154,0.47334,0.52733,0.57769,0.59841,0.60616,0.60198,0.54679,0.46102,0.41712,0.3483,0.33601,0.27061,0.28553,0.29096,0.34661,0.38654,0.34348,0.26334,0.23671,0.23141,0.28022,0.31641,0.35145,0.397,0.44249,0.4349,0.38519,0.33957,0.37996,0.36536,0.43433,0.4446,0.39534,0.35896,0.36445,0.36598,0.43549,0.43786,0.45994,0.47815,0.52177,0.45094,0.43381,0.44856,0.43221,0.40249,0.3973,0.38657,0.38594,0.41706,0.43613,0.44921,0.44156,0.46252,0.45015,0.46,0.44812,0.46966,0.51687,0.52978,0.57568,0.55247,0.52855,0.57204,0.54997,0.54,0.50498
